candidato;cargo;departamento;Plan de Gobierno ;;;;;;;;;
MARIO SILVA COYA;Alcalde;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/PARTIDO-DEMOCRATA-CRISTIANO-GAM-DE-NUESTRA-SENORA-DE-LA-PAZ.pdf;;;;;;;;;
RUBEN FEDERICO MORON ENCINAS;Alcalde;Santa Cruz;https://santacruz.oep.org.bo/wp-content/uploads/2025/12/PG-UN-MUNI-DE-SANTA-CRUZ-DE-LA-SIERRA-.pdf;;;;;;;;;
PAOLA LORENA CRONEMBOLD LANGUIDEY;Alcalde;Santa Cruz;https://santacruz.oep.org.bo/wp-content/uploads/2025/12/PG-NGP-MUNI-DE-SANTA-CRUZ-DE-LA-SIERRA.pdf;;;;;;;;;
GOMER PADILLA JARO;Alcalde;Santa Cruz;https://santacruz.oep.org.bo/wp-content/uploads/2026/01/ASIP-SANTA-CRUZ-DE-LA-SIERRA-PLAN-DE-GOBIERNO.pdf;;;;;;;;;
RAFAEL QUINTEROS MONTAÑO;Alcalde;Santa Cruz;https://santacruz.oep.org.bo/wp-content/uploads/2025/12/PG-PDC-MUNI-DE-SANTA-CRUZ-DE-LA-SIERRA.pdf;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
